总部基地写字楼	南四环西路188号
蓝堡国际中心写字楼	朝阳区西大望路
天元港中心	东三环北路丙2号
华贸中心	西大望路6号(邮编:1000
朝外SOHO写字楼	朝外大街乙6号
SOHO现代城写字楼	建国路88号
金隅嘉华大厦	上地信息产业基地上地科技创业中心
凯德大厦	建国门外大街甲六号
北京财富中心写字楼	东三环中路7号
富尔大厦	东三环中路9号
嘉盛中心写字楼	东三环北路甲19号
万达广场写字楼·国贸	国贸中心正东500米建国路93号院万达广
建外SOHO写字楼	东三环中路39号
数码大厦	中关村南大街2号数码大厦
东方梅地亚中心	光华路4号
SOHO尚都写字楼	东大桥路8号
住邦2000商务中心写字楼	东四环慈云寺桥东南角
尚都国际中心写字楼	东大桥路8号
温特莱中心写字楼	西大望路1号
安联大厦	东三环京广桥
财富金融中心	朝阳区东三环中路7号
三里屯SOHO写字楼	三里屯工体北路南侧，南三里屯路西侧
银谷大厦	北四环西路9号
南银大厦	东三环北路2号
银河SOHO	小牌坊胡同甲七号
国投广场	丰台区广安路9号
方恒国际中心写字楼	望京阜通东大街与阜荣街交汇处东侧
通用国际中心	建国门外大街永安东里甲3号
丰联广场	朝阳门外大街18号
汉威大厦	朝阳区光华路7号
西环广场	西外大街1号
中坤大厦	西直门高粱桥斜街
东方广场写字楼	东长安街1号
富力双子座	东三环中路55号
恒基中心写字楼	建国门内大街18号
盈都大厦	知春路甲48号
世纪科贸大厦	中关村东路66号院甲1号
第三置业写字楼	三元桥曙光西里甲1号
长远天地写字楼	苏州街18号院
金地中心写字楼	建国路91号,国贸东800米
中关村SOHO	中关村高科技广场4号
庄胜广场写字楼	宣外大街6号
南新仓国际大厦	东四十条甲22号东四十条立交桥西南角
招商局大厦	建国门外东环南路2号
时间国际中心写字楼	朝阳区东北三环曙光西里甲6号
北京银泰中心写字楼	建国门外大街2号
琨莎中心写字楼	新源里16号
金泉时代	朝阳区大屯里317号
优盛大厦	成府路28号
国际财经中心写字楼	西三环北路89号花园桥路北200米
中关村大厦	中关村黄庄地铁站
万达广场写字楼·石景山	石景山路与鲁谷大街交汇处西南角
光华路SOHO	朝阳区光华路22号
光华长安大厦	建国门内大街7号
ULO PARK悠乐汇写字楼	阜荣街和阜通东大街交界处
世纪财富中心写字楼	朝阳区光华路
大成国际中心写字楼	百子湾甲12号
财智中心写字楼	中关村东路18号
冠城大厦	太阳宫C区地铁10号线西南出口
新中关写字楼	黄庄路口
学院国际大厦	知春路1号
光耀东方广场写字楼	羊坊店路18号
搜宝商务中心	南三环右安南桥东南侧
金澳国际写字楼	马甸桥西北角
天作国际中心写字楼	中关村南大街12号
清华科技园科技大厦	中关村东路1号
合生财富广场	北京市西城区德外大街与新康路交口北
新年华SOHO写字楼	西城区马连道路25号楼
顺迈金钻	东三环南路甲52号楼
北京·国际	中关村南大街18号
朗琴国际大厦	广安门手帕口桥南街甲一号
昆泰国际中心写字楼	朝外大街乙12号
都会国际写字楼	十里堡甲3号
北京国际中心写字楼	呼家楼京广桥东北角
茅台大厦	北京市西城区北环中路29号院3号楼
辉煌国际广场写字楼	上地信息产业基地北区5号地
铸诚大厦	中关村南大街甲6号
洛克时代中心	安立路与大屯路交汇处西南角兰华国际
国贸三期	北京市朝阳区建国门外大街1号
鹏润大厦	霄云路26号
北京INN写字楼	朝阳门内大街
丹棱SOHO大厦	中关村西区丹棱街
盘古大观写字楼	北四环中路27号
长楹天街	北京市朝阳区朝阳北路常营地铁站
韦伯时代中心写字楼	中关村南大街17号韦伯时代中心C座
金源时代商务中心	长春桥北300米蓝靛厂东路和老营房路交
富海大厦写字楼	海淀区大柳树路15号
世茂·工三写字楼	工体北门对面
恒润中心写字楼	北三环西路南侧
瑞辰国际中心写字楼	长虹桥东200米路北
万通新世界中心	阜成门外大街2号
嘉豪国际中心写字楼	车道沟桥西南角
成铭大厦写字楼	西直门南大街2号
科实信息城	上地信息产业基地上地环岛东南角
泛利大厦	朝外大街22号
泰达时代中心写字楼	光华路15号-1
CRD银座写字楼	鲁谷大街与鲁谷路交汇处
合生·麒麟社写字楼	望京阜通西大街与望京街交汇处
五栋大楼写字楼	车公庄大街市委党校对面
数码01大厦	光华桥东光华路丙12号
环球贸易中心	北三环东路36号
华业国际中心	延静里中街25号
朝外MEN写字楼	朝外大街26号
天创科技大厦写字楼	海淀图书城东南侧彩和坊路8号
悠唐国际中心	朝外大街三丰北里7号
凤凰置地广场	三元桥东北角
紫御国际	银河大街和鲁谷路交汇处东南角
世纪金源国际商务中心	板井路
华彬中心	建国门外永安东里8号
世茂大厦	长安街沿线南侧建国路甲92号
博瑞大厦	白家庄东里北京青年报社旁
硅谷亮城写字楼	农大南路与信息路交叉口西北角
民生金融中心	长安街东单路口东南角
豪景大厦写字楼	知春路与中关村大街交汇处
国兴大厦	首体南路22号
远大中心	慧忠路5号
金码大厦	学院路与清华东路交汇处东北角
旭辉·空港中心	机场北侧顺平路海关大厦东侧
东煌大厦	机场高速路及京顺路旁
海航大厦	霄云路甲26号
远洋商务	东四环八里庄西里1号
中冶霄云中心	霞光里15号
朝阳门SOHO写字楼	朝阳门内大街2号
北方中惠国际中心写字楼	政达路万达广场正南
平安国际金融中心	新源里南路1-3号，昆仑饭店对面
阳光财富大厦	西大望路63号
豪柏大厦	西三环北路50号
世奥国际中心写字楼	北四环东路惠新东桥向东200米
韩建丹阳大厦	北京市朝阳区东三环南路98号
雍和大厦	安定门东大街丙7号
主语国际中心	首体南路9号
中关村E世界·财富中心	海淀区中关村大街11号
北环中心写字楼	北三环马甸桥东北角
华声国际大厦	建国门雅宝路8号
中兴大厦	海淀区花园东路19号
百富国际大厦	工体东路18号
富顿中心写字楼	东三环南路58号
盈创动力	上地信息产业基地北区的2号地块
新世界中心	东城区崇文门外大街3号
凯旋城写字楼	北苑路172号
京广中心	呼家楼
远洋新干线写字楼	东三环霞光里66号
太阳宫大厦	北京市朝阳区太阳宫中路9号
新材料创业大厦	永丰北清路99号
宇飞大厦写字楼	东城区东直门外大街宇飞大厦
投资广场	金融大街27号
第三极创意天地	北四环西路66号
望京国际商业中心写字楼	北京市朝阳区大山子路口西
世纪经贸大厦	西三环北路72号
珠江摩尔国际中心	八达岭高速北清路出口辛庄桥西北角，
枫蓝国际写字楼	西直门北大街32号
绿地启航社写字楼	广阳路、京周路口
富卓广场	宣武区宣武门路口向南200米宣外大街东
双子座大厦	东长安街建国门外大街乙十二号双子座
银科大厦	中关村大街38号
时代风帆写字楼	马家堡西路电信局路北
财满街写字楼	朝阳区朝阳路69号院
博雅A5	北清路生命科学园内
风林西奥中心写字楼	劳动大厦东900米路南
中国红街	工人体育场北路与东路交汇处
非中心中弘国际商务花园	定福庄常营乡朝阳北路沿线
环球财讯中心写字楼	宣武门外大街甲1号
嘉铭中心	东三环北路27号
时尚大厦	时尚大厦东二环光华路
华腾北搪商务大厦	劲松桥东300米
新保利大厦	东四十条西南角
金隅国际写字楼	望京南湖公园北门对面
建威大厦	南礼士路66号
金海商富中心	朝阳东四环与广渠路交口大郊亭桥广渠
华腾国际公寓写字楼	大郊亭中街2号院
天恒大厦	东直门立交桥东南角
富海国际港	大柳树路17号，联想桥南800米
上地国际科技创业园大厦	上地信息路2号
华清商务会馆	海淀区成府路35号
知春大厦	知春路118号
丰汇时代写字楼	太平桥大街84号
中国兵器大厦写字楼	车道沟10号院
中国国际科技会展中心	北三环中路马甸立交桥东北角
新盛大厦	金融大街5号
望京科技园	朝阳望京北路
绿地财富中心	大兴区黄村镇19号地
金融街中心	金融大街与武定侯街交叉口的西北角
泛亚大厦	知春路128号
郦城工作区写字楼	西四环北路65号
长安兴融中心写字楼	闹市口大街1号
名商大厦	苏州街55号
华杰大厦	大钟寺13号
锐城国际写字楼	朝阳区朝阳路高井71号
CDD创意港·嘉悦广场写字楼	京开高速西红门出口西行1000米，地铁
城南大道写字楼	地铁公益西桥站南100米
北辰世纪中心	朝阳区北辰西路8号院
慧科大厦写字楼	五棵松路32号
博雅国际中心写字楼	望京利泽中一路1号
通泰大厦	金融大街33号
月坛大厦	月坛北大街2号
融科资讯中心	中关村科学院南路2号
高斓大厦写字楼	北京市朝阳区亮马桥路32号
旺座中心写字楼	光华路嘉裹中心饭店北侧
润枫德尚写字楼	朝阳区安立路60号院
西金大厦	海淀区莲花池东路39号
盈科中心	工人体育场北路甲2号
紫光发展大厦	北京市朝阳区惠新东街11号
紫金数码写字楼	中关村南四街，知春路城铁西
世贸天阶写字楼	光华路甲9号
歌华大厦	东直门北新桥青龙胡同1号
清华同方科技大厦	五道口王庄路1号
富力摩根中心写字楼	南二环陶然桥向北600米路东
牛顿办公区	蓝靛厂南路25号
中关村科贸中心	中关村大街与北四环路口东南角
华远企业号写字楼	北展北街15号
华润大厦	建国门北大街8号
利生大厦	王府井大街201号
星城亮马国际写字楼	大山子环岛东南侧
国际创展中心写字楼	甘露园南里25号
汇欣大厦	北辰购物中心附近
世丰国际大厦写字楼	青年路小区雅成一里
汉威国际广场	西南四环科丰桥东南侧
千鹤商务1号写字楼	北四环东路108号，亚运村小营
西海国际中心写字楼	苏州桥东北角
皇城国际中心	安定门外大街168号
CROSS朗廷写字楼	管庄杨闸环岛西南
科技财富中心	海淀区学清路8号
上奥世纪中心写字楼	八达岭高速路西三旗桥东北角
新恒基国际大厦	麦子店西路3号
盛福大厦	亮马桥麦子店街37号
中国国际贸易中心	建国门外大街1号
立方庭写字楼	善缘街1号，与彩和坊路交汇东北角，海
电子城it产业园	酒仙桥北路甲10号
通正国际大厦	广渠门内大街80号
海龙大厦写字楼	中关村大街1号
强佑清河新城写字楼	八达岭高速清河桥西南
北辰时代大厦	北辰东路8号
北方地产大厦	紫竹院路81号
伊斯特大厦	西四环北路15号在西四环辅路
嘉华大厦	北京市朝阳区北四环东路133号
1+1大厦写字楼	彩和坊路中关村西区18地
中水电国际大厦	广渠东路三号
名流未来大厦写字楼	南四环中路公益西桥北200米
燕莎中心	亮马河路50号
国际大厦	建国门外大街19号
新成文化大厦	崇外大街11号
嘉业大厦写字楼	南三环刘家窑桥往东200米，地铁5号线
华宝大厦	莲花桥西南角
英特公寓写字楼	西坝河西里28号
蓝光云鼎大厦	公益桥北马家堡路东100米
优士阁写字楼	国贸桥正南1500米，双井桥西南角
佳汇国际中心	朝阳门外大街吉庆里6号
工商联科技大厦	中关村科技园丰台园科学城富丰路4号
北京LINK	京顺路来广营东路路口向东200米
保利东方中心	朝阳公园桥东南800米石佛营东里
科瑞大厦	望京中环南路甲2号
东环广场	东中街32号
北辰首作	安外北苑路与红军营南路交汇路口东南
君天大厦	北京市东长安街延长线的高碑店地区四
林肯公园写字楼	经济技术开发区荣华北路
华丰世纪中心	望京阜通东大街12号宝能中心B1
学院派写字楼	西土城路与学院南路交叉路口，明光桥
车公庄新时代大厦	大厦地址西城区平安里西大街26号
北京MOHO写字楼	北苑路168号
BDA国际企业大道写字楼	景园北街2号
美惠大厦写字楼	东四十条桥东南侧
万科大都会写字楼	国贸桥东南角招商局大厦正南面
安华发展大厦	三四环间安贞桥北200米路西
富盛大厦	亚奥商圈北四环
贵都国际中心	南滨河路27号，西二环广安门桥向南50
亮马河大厦	东三环北路8号
望京大厦	望京中环南路9号
颐泉汇写字楼	海淀区上地信息产业基地上地东路35号
WHOSE(恒奥中心)	金融街E3地块
港澳中心写字楼	朝阳门北大街2号
东海中心	建国门外大街甲24号
嘉捷科技园	BDA经济技术开发区西环南路26号院
正东国际大厦写字楼	东直门外小街甲2号
中服大厦	东三环建国路99号
依斯特大厦	西四环北路15号
方恒偶寓大厦	南三环方庄桥南600路西
北京北美中心	北苑路86号
首城双景写字楼	广渠路36号院
金融科贸大厦	上地信息中路19号
外企大厦	西大望路与广渠路交叉路口的西北角
中国瑞达大厦	鲁谷路74号鲁谷路与玉泉路交叉口向西
金运大厦	西直门北大街甲43号
金泰富地大厦	安宁庄西路9号
鼎好电子大厦	中关村大街与北四环交汇处
首开东都汇写字楼	朝阳北路与常营东路交汇处东北角
长银大厦	永定路88号
傲城融富中心写字楼	北苑北辰居住区B3区
绿地中央广场·云中心	京开高速黄亦路出口西行20
峻峰华亭写字楼	健翔桥东300米路南，中华民族园西侧
中冶置业·霄云国际	霄云路28号
酒仙桥写字楼	朝阳区酒仙桥路
中海国际中心	西城区平安里西大街28号院
摩码大厦写字楼	朝阳北路水碓子,朝阳北路199号
大悦商住公寓	朝阳北路与青年路交汇口
自然新天地写字楼	马家堡东路106号
鑫源国际写字楼	南三环东路南侧，方庄桥东南侧
苏州街33号公寓写字楼	苏州街33号
昆泰大厦	朝阳门外大街朝外商务中心
亦城国际中心写字楼	北京经济技术开发区荣华北路
源中心写字楼	广内大街广义街5号
新时代证券大厦	朝阳区长虹桥南50米
后现代城写字楼	现代城往南400米往东
财富西环大厦	中国中医研究院广安门医院宣武医院电
商富中心	广渠路21号
国中商业大厦	东城区灯市口大街33号
劲松写字楼	潘家园东里26楼
商房大厦	西城区北三环中路27号
西荣阁写字楼	海淀区彰化路
中弘·北京像素写字楼	朝阳区常营五里桥二街一号院
北京工商联大厦	丰台区科技园富丰路4号
龙辉大厦	劲松桥南200米
石景山通景大厦	石景山区苹果园路与杨庄大街交叉口
青年工社写字楼	朝阳北路与青年路交口往南100米路西
开元国际广场	北三环安贞桥北地铁十号线安贞门地铁
东亚·望京中心写字楼	望京广顺南大街
金燕龙大厦	西三旗桥向北500米路东
惠普大厦	北京市朝阳区建国路112号
元嘉国际公寓写字楼	东中街40号
总部国际	西南四环科丰桥总部基地西侧
专家国际公馆写字楼	清河小营后屯东南路26号
新华联大厦	朝阳区道家园18号
石景山国睿大厦	石景山古城大街与古城西街交叉处
长河湾三期写字楼	西直门高粱桥斜街59号院
北京汽车大厦	华威桥西南角东三环南路25号
德胜凯旋广场	西城区德胜门外
万润大厦	中关村科技园区丰台园海鹰路3号
远洋自然新天地	丰台马家堡东路106号
imoma写字楼	海淀清河安宁庄路9号院25号楼
信通大厦	北京站东街8号
新时代大厦	花园路七号
兴茂中心	大兴京开高速黄村出口西，地铁四号线
华睦国际写字楼	马连道11号
盈坤世纪	西南四环科丰桥东汽车博物馆东路
林达大厦写字楼	和平里东土城路8号
万企大厦	东四环朝阳公园桥东北角
上地实创大厦	上地信息产业基地中心交通环岛东北侧
万泉商务花园写字楼	苏州桥万泉河路西
宜品上层写字楼	安宁庄西路
万商汇	北京市崇文区珠市口东大街2号
阳光上东双子座	东四环北路6号
兴创D标写字楼	兴华大街与金星西路交汇处西北角
上地环岛创业园	海淀区上地环岛七街西北角
新世界太华公寓写字楼	崇外大街3号
高澜大厦	亮马桥路32号
大康大厦	崇文门外大街44号
林达海渔广场写字楼	东四环南路小武基桥北
旷怡大厦	北京市海淀区花园东路15号
新中大厦	东四十条桥东
赢嘉中心	东三环中路甲10号
坦博艺术中心	海淀杏石口路残联站
方庄6号写字楼	方庄桥东100米，第二中级人民法院东1
波普工社	黄村清源北路与兴华大街交叉口西北角
王府世纪大厦	东安门大街55号
国中商务大厦	东城区灯市口大街33号
水晶之星写字楼	康庄路10号
三元大厦写字楼	北三环西坝河东里18号
北清创意园	回龙观镇中关村生命科学园
翠微大厦	复兴路33号
住总大厦	东三环中路25号
金隅可乐写字楼	京通快速双桥出口南侧500米，双桥路西
大成时代中心写字楼	五棵松桥南1500米西四环中路93号
东贸国际写字楼	燕郊102国道西侧燕顺路南口交汇处
城市广场写字楼	东四环十里堡甲3号
兵器装备大厦	紫竹院路69号
瑞都国际中心	通州区九棵树西路76号
科技大厦	清华大学东南侧
王府井大厦	王府井大街255号
旷怡中心	花园路甲2号
聚龙花园写字楼	新中街68号
长安大厦	东长安街10号
BDA芯中心	亦庄经济开发区地盛北街1号
天云港	朝阳区三元桥东北角
BDA国际港	经济技术开发区东区科创一街经海四路
新华联科技大厦	通州区嘉创路5号
建外外交公寓	建国门桥
正旗大厦	角门北门8号院
丹耀大厦	王府井大街172号
西派国际写字楼	北京市西城区西直门南小街133号
大族激光	北京亦庄开发区南部新区地块
三里屯village写字楼	三里屯北路19号
北京商界	崇文门新世界东花市SOLO对面
天元和平商业大厦	东城区和平里中街17号
万科公园五号写字楼	朝阳公园南500米
十里堡独栋	北京市朝阳区十里堡
中关村公馆写字楼	海淀中关村核心区
时代畅想商务楼	对外经贸大学东门
阳明广场写字楼	北四环东路小营路10号
上线6号写字楼	管庄路口北600米，东苇路9号
国中大厦	灯市口大街33号
首创和平大道	东北三环太阳宫桥东南侧
海淀写字楼	海淀南路11号
华成大厦	北京海淀区上地四街8号
白露广场写字楼	双裕大街与裕华路交叉口
天坛昊园宾馆	崇文区天坛东路甲9号
思源大厦	朝阳区望京南湖中园316号
瑞安国际中心	十里河南路102号
中黎科技园	上地三街1号
乐成中心写字楼	双井桥东北角
中汇广场写字楼	东直门南大街11号
空港科技大厦	天竺空港工业A区天柱中
北京IFC写字楼	建国门外大街甲8号
中海广场	建外大街，国贸中心西侧
京汇大厦	建国路乙118号京汇大厦
金贸中心写字楼	西外大街德宝饭店对面
环球金融中心	东三环中路1号
金蝶软件园	北京市顺义新城
佳程广场	朝阳区东三环北路霞光里18号
亿城中心	苏州桥西500米
复星国际中心	朝阳北路237号
银网中心	知春路113号
百环大厦写字楼	北京市朝阳区广渠路66号
天行健商务大厦	海淀区公主坟翠微路口
中关村软件园	北京市海淀区上地西路中关村软件园
腾达大厦	西外大街168号
东升大厦	中关村东路8号
嘉里中心	光华路1号
清华同方科技广场	清华东路
艾维克大厦	朝阳区国贸桥东南角
来福士中心	东直门立交桥西南角
768创意产业园	北京市海淀区学院路5号，中关村768创
金长安大厦	东四环中路82号
方圆大厦	中关村南大街乙56号
理想国际大厦	北四环西路58号
青云当代大厦	海淀区北三环西路43号
居然大厦	东直门南大街甲3号
富华大厦	朝阳门北大街8号
京信大厦	东三环北路甲2号 
城建大厦	北太平庄路18号
金泰国际大厦	东四环大郊亭桥东800米路北
北京富力中心	东三环中路63号
国际企业大厦	金融大街35号
致真大厦	海淀区学院路学知桥西北角
首创大厦	朝阳门北大街6号
青东商务区写字楼	北京市海淀区车道沟1号
泰鹏大厦	中关村海淀北二街10号
天辰大厦写字楼	朝阳门东北角
富凯大厦	金融街19号
国华投资大厦	东直门南大街3号
侨福芳草地	东大桥路8号
北京科技会展中心	中关村南大街2号
五矿广场	东城区东四十条桥西南角
中青大厦	白于朝阳东三环北路19号
四惠大厦	朝阳区高碑店乡半壁店村西店1008-A号
屯三里写字楼	工体北路与春秀路交汇处
光华路SOHO二期	朝阳区光华路22号
中青旅大厦	东直门南大街5号
中国电子大厦	中关村广场丹棱街3号
英蓝国际金融中心	金融大街7号
嘉泰国际大厦	嘉泰国际大厦位于朝阳区东四环中路41
冠城名敦道写字楼	广渠门桥东南角
首钢国际大厦	西直门立交桥东北角
联合大厦	东二环朝阳门外
华普花园写字楼	东四十条桥西北角，东直门南大街9号
北大医疗产业园	中关村生命科学园内
寰太大厦写字楼	中关村南大街甲12号
北京广播大厦	建国门外大街甲14号
恒通商务园	酒仙桥路10号恒通商务园 
清华科技园创业大厦	中关村东路1-3号
中宇大厦	工体北路甲6号
金洲大厦	海淀区苏州街77
长新大厦	安定路39号
华一控股	彩和坊路紧邻苏州街
德胜置业大厦写字楼	马甸桥黄寺大街26号院
二十一世纪大厦	亮马桥路40号
